author,title,year,journal,volume,number,pages,doi,OA,OAref,OAtype,code,cref,repl,suppl,otherref,othername
P25,"Schiavoni, Caterina and Koopman, Siem Jan and Palm, Franz and Smeekes, Stephan and van den Brakel, Jan","Time-varying correlations in multivariate unobserved components time series models","2025","Journal of the Royal Statistical Society - Series A",,,"forthcoming","10.1093/jrsssa/qnae145",0,"https://papers.tinbergen.nl/21020.pdf","Working Paper","R Code","https://github.com/cateschi/Time_varying_correlation",,,,
P24,"Lieb, Lenard and Jassem, Adam and Almeida, Rui Jorge and Basturk, Nalan and Smeekes, Stephan","Min(d)ing the President: A text-analytic approach to tax news","2025","American Economic Journal: Macroeconomics","17","2","285--314","10.1257/mac.20210226",0,"https://arxiv.org/abs/2104.03261","Working Paper","Code + Data","https://doi.org/10.3886/E205441V1","https://doi.org/10.3886/E205441V1",,,
P23,"Adamek, Robert and Smeekes, Stephan and Wilms, Ines","Local projection inference in high dimensions","2024","Econometrics Journal","27","3","323--342","10.1093/ectj/utae012",1,,,"desla R Package","https://cran.r-project.org/package=desla","https://github.com/RobertAdamek/HDLPrepro",,,
P22,"Beutner, Eric and Heinemann, Alexander and Smeekes, Stephan","A residual bootstrap for conditional Value-at-Risk","2024","Journal of Econometrics","238","2","105554","10.1016/j.jeconom.2023.105554",1,,,"MATLAB Code","software.qmd",,,,
P21,"Adamek, Robert and Smeekes, Stephan and Wilms, Ines","Lasso inference for high-dimensional time series","2023","Journal of Econometrics","235","2","1114--1143","10.1016/j.jeconom.2022.08.008",1,,,"desla R Package","https://cran.r-project.org/package=desla",,,,
P20,"Beutner, Eric and Lin, Yicong and Smeekes, Stephan","GLS estimation and confidence sets for the date of a single break in models with trends","2023","Econometric Reviews","42","2","195--219","10.1080/07474938.2023.2178088",1,,,,,,,,
P19,"Hecq, Alain and Margaritella, Luca and Smeekes, Stephan","Granger causality testing in high-dimensional VARs: a post-double-selection procedure","2023","Journal of Financial Econometrics","21","3","915--958","10.1093/jjfinec/nbab023",1,,,"HDGCvar R Package","https://github.com/Marga8/HDGCvar",,,,
P18,"Smeekes, Stephan and Wilms, Ines","bootUR: An R Package for Bootstrap Unit Root Tests","2023","Journal of Statistical Software","106","12","1--39","10.18637/jss.v106.i12",1,,,"bootUR R Package","https://stephansmeekes.com/bootUR/","https://www.jstatsoft.org/index.php/jss/article/view/v106i12/4483",,,
P17,"Beutner, Eric and Heinemann, Alexander and Smeekes, Stephan","A Justification of Conditional Confidence Intervals","2021","Electronic Journal of Statistics","15","1","2517--2565","10.1214/21-EJS1833",1,,,,,,,,
P16,"Schiavoni, Caterina and Palm, Franz and Smeekes, Stephan and van den Brakel, Jan","A dynamic factor model approach to incorporate Big Data in state space models for official statistics","2021","Journal of the Royal Statistical Society - Series A","184","1","324--353","10.1111/rssa.12626",1,,,"R Code","https://github.com/cateschi/KalmanFilter",,,,
P15,"Smeekes, Stephan and Wijler, Etienne","An automated approach towards sparse single-equation cointegration modelling","2021","Journal of Econometrics","221","1","247--276","10.1016/j.jeconom.2020.07.021",0,"https://cris.maastrichtuniversity.nl/files/63828715/Smeekes_2021_An_automated_approach_towards_sparse_single_equation.pdf","UM Library","specs R Package","https://cran.r-project.org/package=specs",,,,
P14,"Friedrich, Marina and Reuvers, Hanno and Smeekes, Stephan and Urbain, Jean-Pierre and Bader, Whitney and Franco, Bruno and Lejeune, Bernard and Mahieu, Emmanuel","A statistical analysis of time trends in atmospheric ethane","2020","Climatic Change","162","1","105--125","10.1007/s10584-020-02806-2",1,,,"R + Python Code","software.qmd#codes",,,,
P13,"Friedrich, Marina and Smeekes, Stephan and Urbain, Jean-Pierre","Autoregressive wild bootstrap inference for nonparametric trends","2020","Journal of Econometrics","214","1","81--109","10.1016/j.jeconom.2019.05.006",0,"https://cris.maastrichtuniversity.nl/files/53572520/Smeekes_2020_Autoregressive_wild_bootstrap_inference.pdf","UM Library","R Code","software.qmd#codes",,,,
P12,"Smeekes, Stephan and Westerlund, Joakim","Robust block bootstrap panel predictability tests","2019","Econometric Reviews","38","9","1089--1107","10.1080/07474938.2018.1536102",1,,,"R Code","software.qmd#codes",,,,
P11,"Smeekes, Stephan and Wijler, Etienne","Macroeconomic forecasting using penalized regression methods","2018","International Journal of Forecasting","34","3","408--430","10.1016/j.ijforecast.2018.01.001",0,"https://cris.maastrichtuniversity.nl/files/53572602/Smeekes_2018_Macroeconomic_forecasting_using_penalized_regression_methods.pdf","UM Library",,,,,,
P10,"Hurlin, Christophe and Laurent, Sébastien and Quaedvlieg, Rogier and Smeekes, Stephan","Risk measure inference","2017","Journal of Business and Economic Statistics","35","4","499--512","10.1080/07350015.2015.1127815",1,,,,,,,,
P9,"Götz, Thomas B and Hecq, Alain and Smeekes, Stephan","Testing for Granger causality in large mixed-frequency VARs","2016","Journal of Econometrics","193","2","418--432","10.1016/j.jeconom.2016.04.015",0,"https://cris.maastrichtuniversity.nl/files/12525363/3869225.pdf","UM Library",,,,,,
P8,"Cavaliere, Giuseppe and Phillips, Peter C B and Smeekes, Stephan and Taylor, A M Robert","Lag length selection for unit root tests in the presence of nonstationary volatility","2015","Econometric Reviews","34","4","512--536","10.1080/07474938.2013.808065",0,"https://cris.maastrichtuniversity.nl/files/72514850/smeekes_2015_lag_length_selection_for_unit.pdf","UM Library","bootUR R Package","https://stephansmeekes.com/bootUR/",,,,
P7,"Smeekes, Stephan","Bootstrap sequential tests to determine the order of integration of individual units in a time series panel","2015","Journal of Time Series Analysis","36","3","398--415","10.1111/jtsa.12110",0,"https://cris.maastrichtuniversity.nl/files/72514670/smeekes_2015_bootstrap_sequential_tests_to_determine.pdf","UM Library","bootUR R Package","https://stephansmeekes.com/bootUR/",,,,
P6,"Smeekes, Stephan and Urbain, Jean-Pierre","On the applicability of the sieve bootstrap in time series panels","2014","Oxford Bulletin of Economics and Statistics","76","1","139--151","10.1111/obes.12005",0,"https://cris.maastrichtuniversity.nl/files/72515094/smeekes_2014_on_the_applicability_of_the_sieve.pdf","UM Library",,,,,,
P5,"Smeekes, Stephan","Detrending bootstrap unit root tests","2013","Econometric Reviews","32","8","869--891","10.1080/07474938.2012.690693",0,"https://cris.maastrichtuniversity.nl/files/72515329/smeekes_2013_detreding_bootstrap_unit_root.pdf","UM Library","bootUR R Package","https://stephansmeekes.com/bootUR/",,,,
P4,"Smeekes, Stephan and Taylor, A M Robert","Bootstrap union tests for unit roots in the presence of nonstationary volatility","2012","Econometric Theory","28","2","422--456","10.1017/S0266466611000387",0,"https://cris.maastrichtuniversity.nl/files/72515636/smeekes_2012_bootstrap_union_tests_for_unit.pdf","UM Library","bootUR R Package","https://stephansmeekes.com/bootUR/",,,,
